company,country,averageage,averagetenure,women%,marketcap
DE LONGHI S.p.A.,Italy,61.6,11,30,3.5
"DuPont Fabros Technology, Inc.",USA,58.8,6.5,12.5,3.5
The Star Entertainment Group Limited,Australia,60.5,2.1,28.6,3.5
"Hawaiian Electric Industries, Inc.",USA,67.3,15.7,22.2,3.5
Howden Joinery Group plc,United Kingdom,58.5,6.9,12.5,3.5
Lancaster Colony Corporation,USA,62.8,11.8,11.1,3.5
Rubis,France,60.5,8.8,38.5,3.5
United States Cellular Corporation,USA,64,12.3,7.1,3.5
Assured Guaranty Ltd.,USA,65.9,6.7,20,3.5
SSAB AB,Sweden,57.8,3.4,25,3.5
"Sprouts Farmers Market, Inc.",USA,52.1,3.9,14.3,3.5
Bendigo and Adelaide Bank Ltd.,Australia,57.9,8.4,25,3.5
SJM Holdings Ltd.,Hong Kong,69.6,8.3,8.3,3.5
PAREXEL International Corporation,USA,64.6,14.8,25,3.5
"Aspen Technology, Inc.",USA,62.5,9,16.7,3.5
Euler Hermes Group,France,56.5,3.8,45.5,3.5
"EPAM Systems, Inc.",USA,53.2,6.5,0,3.5
"Apple Hospitality REIT, Inc.",USA,62.4,3.3,0,3.5
Eldorado Gold Corporation,Canada,62.2,7.9,11.1,3.5
KCC Corp.,South Korea,62.2,6.3,0,3.5
The Bidvest Group Ltd,South Africa,55.1,9.3,29.4,3.5
FirstMerit Corporation,USA,66.2,15.3,20,3.5
BlackBerry Limited,Canada,63,3.3,25,3.5
"Telephone and Data Systems, Inc.",USA,65,18.8,16.7,3.5
Krones AG,Germany,51,6.5,25,3.5
Aalberts Industries,Netherlands,64,4,0,3.5
John Wood Group plc,United Kingdom,53,3.5,25,3.4
"ONE Gas, Inc.",USA,61.6,2,14.3,3.4
Seaboard Corporation,USA,67.8,13.5,0,3.4
"Legg Mason, Inc.",USA,66.2,7,18.2,3.4
"Take-Two Interactive Software, Inc.",USA,57.2,6.8,16.7,3.4
CAE Inc.,Canada,61.2,6.8,18.2,3.4
"Avis Budget Group, Inc.",USA,61.2,7.4,15.4,3.4
CRANE CO.,USA,62.3,11,18.2,3.4
Rice Energy Inc.,USA,55.4,2.4,0,3.4
BTG plc,United Kingdom,60.6,6.3,25,3.4
"Urban Outfitters, Inc.",USA,61.9,18,22.2,3.4
Samsung Electro-Mechanics Co.,South Korea,57.6,3,14.3,3.4
"First Pacific Co., Ltd.",Hong Kong,64.8,18.2,18.2,3.4
Acerinox S.A.,Spain,58,5.9,13.3,3.4
Subsea 7 S.A.,Luxembourg,63.4,8.6,0,3.4
Kirby Corporation,USA,62.4,8.8,11.1,3.4
Diasorin S.p.A,Italy,59.3,7.2,23.1,3.4
UOL Group Limited,Singapore,65.8,14.9,0,3.4
First Horizon National Corporation,USA,60.1,10.2,20,3.4
WORLD FUEL SERVICES CORPORATION,USA,66.1,13.4,0,3.4
"BankUnited, Inc.",USA,61.7,3,30,3.4
Golden Agri-Resources Ltd,Singapore,59.3,13.9,0,3.4
"Spirit Airlines, Inc.",USA,59.5,4.3,25,3.4
Deluxe Corporation,USA,63,12,20,3.4
RPC Group plc,United Kingdom,56,4.6,28.6,3.4
"WPX Energy, Inc.",USA,64.9,4.3,9.1,3.4
Havas,France,55.5,6.3,37.5,3.4
Henderson Group plc,United Kingdom,55.3,4.6,33.3,3.4
Oil India Ltd,India,56.5,1.8,9.1,3.3
"Snyder's-Lance, Inc.",USA,65.4,6.9,8.3,3.3
"Blackbaud, Inc.",USA,62.4,6.4,25,3.3
"CST Brands, Inc.",USA,59.1,2.3,25,3.3
Industrial Alliance Insurance and Financial Services Inc.,Canada,61.1,7.6,35.7,3.3
Wayfair Inc.,USA,43.4,6.3,12.5,3.3
Netcare Ltd,South Africa,56.9,9.3,36.4,3.3
Hyundai Engineering & Construction Co. Ltd.,South Korea,62.9,3.6,0,3.3
"Post Properties, Inc.",USA,63.4,11,12.5,3.3
Webster Financial Corporation,USA,65.7,14.3,20,3.3
Gerdau S.A.,Brazil,56.5,5.5,0,3.3
OUTFRONT Media Inc.,USA,60.2,2,16.7,3.3
"Ubiquiti Networks, Inc.",USA,47.3,5.7,0,3.3
Enstar Group Limited,USA,55.2,5.2,10,3.3
"Hill-Rom Holdings, Inc.",USA,63.2,7.6,11.1,3.3
"Ionis Pharmaceuticals, Inc.",USA,65,13.8,12.5,3.3
"First Industrial Realty Trust, Inc.",USA,64.7,10.7,0,3.3
Rayonier Inc.,USA,57.7,3.7,22.2,3.3
"Texas Roadhouse, Inc.",USA,64.5,10.3,16.7,3.3
"RPC, Inc.",USA,79,23.8,12.5,3.3
Ashmore Group plc,United Kingdom,55.6,4.9,14.3,3.3
Sistema JSFC,Russia,55.8,6.1,0,3.3
Memorial Resource Development Corp.,USA,53.9,1.7,14.3,3.3
Amer Sports Corporation,Finland,58.4,8,25,3.3
"Cemig, Companhia Energetica De Minas Gerais",Brazil,63.3,2.9,0,3.3
UBM plc,United Kingdom,57.2,4.2,40,3.3
Universal Display Corporation,USA,71.3,14.6,22.2,3.3
Korea Gas Corp.,South Korea,60.1,1.3,0,3.3
Canadian Apartment Properties REIT,Canada,67.4,11.2,11.1,3.3
Capital & Counties Properties plc,United Kingdom,53.1,6.8,10,3.2
Colony Starwood Homes,USA,61.8,1,0,3.2
Sulzer AG,Switzerland,55,2.4,12.5,3.2
Black Hills Corporation,USA,61.3,7.4,22.2,3.2
New Jersey Resources Corporation,USA,66.3,12.3,18.2,3.2
Georg Fischer AG,Switzerland,59.2,6.8,22.2,3.2
Elia System Operator,Belgium,55.8,4.1,35.7,3.2
Shaftesbury plc,United Kingdom,60.9,12.8,30,3.2
"CNO Financial Group, Inc.",USA,64.7,5.7,22.2,3.2
"j2 Global, Inc.",USA,64.7,12,0,3.2
PolyOne Corporation,USA,59.8,6.5,20,3.2
Bellway plc,United Kingdom,55.1,6.1,14.3,3.2
"Allied World Assurance Company Holdings, AG",USA,61.6,6.6,37.5,3.2
Evolution Mining Ltd.,Australia,62.3,3.6,0,3.2
"First Citizens BancShares, Inc.",USA,62.1,11.9,7.7,3.2
"Popular, Inc.",USA,55.3,8.6,22.2,3.2
Northland Power Inc.,Canada,62,9,33.3,3.2
"John Wiley & Sons, Inc.",USA,58.7,9.5,18.2,3.2
Spark Infrastructure Group,Australia,57,4.1,42.9,3.2
OCI NV,Netherlands,56.3,5.4,11.1,3.2
"Fomento de Construcciones y Contratas, S.A.",Spain,55.9,5.2,26.7,3.2
"Team Health Holdings, Inc.",USA,60.2,4.2,18.2,3.2
Stada Arzneimittel AG,Germany,63.5,11.7,11.1,3.2
Alumina Ltd.,Australia,59.6,4.3,16.7,3.2
United States Steel Corporation,USA,61.5,4.9,25,3.2
Silgan Holdings Inc.,USA,69.6,16.1,0,3.2
Sensient Technologies Corporation,USA,63.8,7.6,30,3.2
BillerudKorsnas AB,Sweden,58.9,4.9,30,3.2
Nos SGPS SA,Portugal,45,3.9,27.8,3.2
"EMCOR Group, Inc.",USA,65.1,10.3,0,3.1
Brookdale Senior Living Inc.,USA,62.6,5.2,11.1,3.1
"ALLETE, Inc.",USA,62.6,8.4,30,3.1
Greene King plc,United Kingdom,54.7,9.9,14.3,3.1
"Education Realty Trust, Inc.",USA,59.8,5.8,12.5,3.1
"Patterson-UTI Energy, Inc.",USA,61.3,10.4,14.3,3.1
Aryzta AG,Switzerland,62.4,3.6,12.5,3.1
"Valmont Industries, Inc.",USA,68,13.1,11.1,3.1
Yuhan Corp.,South Korea,54.8,1.8,0,3.1
"Piedmont Office Realty Trust, Inc.",USA,65.3,6.1,22.2,3.1
"Trinity Industries, Inc.",USA,64.9,10.9,9.1,3.1
Carl Zeiss Meditec AG,Germany,52.2,5.8,33.3,3.1
Lagardere SCA,France,60.9,7.3,40,3.1
"Hudson Pacific Properties, Inc.",USA,52.3,4.6,0,3.1
Ensco plc,USA,62.2,9.2,22.2,3.1
Spire Inc.,USA,61.4,9,50,3.1
Cabot Corporation,USA,64.7,12.3,20,3.1
"Extended Stay America, Inc.",USA,53.3,2.4,0,3.1
Evraz plc,United Kingdom,56.1,8.9,12.5,3.1
"Energizer Holdings, Inc.",USA,64.8,1,10,3.1
"Fitbit, Inc.",USA,46.8,6,0,3.1
"Juno Therapeutics, Inc.",USA,59.1,2.2,11.1,3.1
United Breweries Ltd.,India,61.6,6.5,8.3,3.1
BBA Aviation plc,United Kingdom,58.9,3.5,12.5,3.1
"American Eagle Outfitters, Inc.",USA,64.7,11,14.3,3.1
William Hill plc,United Kingdom,56.1,4.3,25,3.1
CTS Eventim AG & Co KGAA,Germany,67,5.3,33.3,3.1
"Clean Harbors, Inc.",USA,64,11.4,20,3.1
MERCURY GENERAL CORPORATION,USA,70.6,15.3,11.1,3.1
Alpha Bank AE,Greece,63.6,6.9,20,3.1
AMERICAN NATIONAL INSURANCE COMPANY,USA,64.3,9.1,14.3,3.1
Cimpress N.V.,USA,51.4,5.3,18.2,3.1
CLARCOR Inc.,USA,65.9,10.5,0,3
"NuVasive, Inc.",USA,60.4,3.8,25,3
JD Sports Fashion plc,United Kingdom,58,5.8,16.7,3
SLM Corporation,USA,66.3,5.1,25,3
"Inovalon Holdings, Inc.",USA,59.4,5.8,20,3
Kumba Iron Ore Ltd,South Africa,55,5,40,3
APERAM S.A.,Luxembourg,55.7,4.4,28.6,3
"Oceaneering International, Inc.",USA,66.8,16.7,0,3
ASM Pacific Technology Ltd.,Hong Kong,62,8.1,10,3
Tupperware Brands Corporation,USA,66.1,11.6,41.7,3
Chesapeake Energy Corporation,USA,60.5,3.8,12.5,3
ITT Inc.,USA,63.1,6.2,30,3
Bank of Queensland Ltd,Australia,57.9,3.6,33.3,3
RLI Corp.,USA,65.2,11,9.1,3
New Residential Investment Corp.,USA,59,3,0,3
Bank of Hawaii Corporation,USA,63.7,11,25,3
"Landstar System, Inc.",USA,60.6,8.6,28.6,3
OC Oerlikon Corporation AG,Switzerland,53.3,2.5,0,3
Vista Outdoor Inc.,USA,60.9,0,14.3,3
PSG Group Ltd,South Africa,54.8,10.8,7.1,3
Spectris plc,United Kingdom,58.1,6.4,12.5,3
Air Lease Corporation,USA,62,5.1,12.5,3
WSP Global Inc.,Canada,56.7,3.3,33.3,3
Chimera Investment Corporation,USA,59.9,7.7,0,3
Equatorial Energia S.A.,Brazil,47.9,3.6,0,3
"Catalent, Inc.",USA,57.8,3.4,0,3
"Cable One, Inc.",USA,58.8,3.5,37.5,3
Great Portland Estates plc,United Kingdom,52.1,7.4,14.3,3
Dorma Kaba Holding AG,Switzerland,52.4,6.6,30,3
Maple Leaf Foods Inc.,Canada,60.9,4.8,20,3
"AMC Entertainment Holdings, Inc.",USA,58.9,1.8,11.1,3
Murphy USA Inc.,USA,61,2.7,10,3
Integra LifeSciences Holdings Corporation,USA,61.3,12.1,10,3
"PS Business Parks, Inc.",USA,60.5,9.1,25,3
"Dycom Industries, Inc.",USA,62.3,8,25,3
"Pandora Media, Inc.",USA,57.6,5.4,22.2,3
"B&G Foods, Inc.",USA,61.8,11.5,25,3
Tenet Healthcare Corporation,USA,62.1,8,33.3,3
"Penske Automotive Group, Inc.",USA,64.3,11.7,16.7,3
Two Harbors Investment Corp.,USA,59.2,4.3,22.2,3
Mighty River Power Ltd.,New Zealand,63,3.5,25,3
Dongsuh Co.,South Korea,63,9.5,0,3
NorthWestern Corporation,USA,63.1,8.4,28.6,3
"National Health Investors, Inc.",USA,65,17,0,3
Lions Gate Entertainment Corp.,USA,61.4,10.1,8.3,3
Pioneer Food Group Ltd,South Africa,53.1,4.5,15.4,3
FGC UES PJSC,Russia,45.9,1.7,0,3
"Molina Healthcare, Inc.",USA,65.5,10.7,10,2.9
Rural Electrification Corporation Ltd.,India,56.3,3.5,0,2.9
Berendsen plc,United Kingdom,57.3,5.1,28.6,2.9
"Prestige Brands Holdings, Inc.",USA,64.4,4,14.3,2.9
"Owens-Illinois, Inc.",USA,61.3,7.2,16.7,2.9
"Home BancShares, Inc.",USA,63.2,9.5,0,2.9
Starz,USA,60.2,3.7,11.1,2.9
Belden Inc.,USA,59.4,10.8,11.1,2.9
Urban Edge Properties,USA,62.1,1.3,14.3,2.9
GameStop Corp.,USA,61.3,9,20,2.9
Saga plc,United Kingdom,57.4,4.4,25,2.9
Intrexon Corporation,USA,63.3,6.1,0,2.9
"Sinclair Broadcast Group, Inc.",USA,62.9,21.4,0,2.9
Software AG,Germany,50.5,4.2,16.7,2.9
"Rackspace Hosting, Inc.",USA,48.9,4.8,25,2.9
Pan American Silver Corp.,Canada,60.8,7,12.5,2.9
Stantec Inc.,Canada,64.8,9.3,25,2.9
"Integrated Device Technology, Inc.",USA,57.6,4.6,0,2.9
Brandywine Realty Trust,USA,70.8,14,12.5,2.9
Tata Power Company Ltd.,India,62.3,6.4,9.1,2.9
"Ellie Mae, Inc.",USA,61.5,8.5,18.2,2.9
"Beacon Roofing Supply, Inc.",USA,57.4,6,0,2.9
Acacia Mining plc,United Kingdom,57.9,4.3,11.1,2.9
Tenneco Inc.,USA,64.2,9.8,11.1,2.9
LaSalle Hotel Properties,USA,62.5,11.5,16.7,2.9
Jack in the Box Inc.,USA,57.6,6.9,25,2.9
Adelaide Brighton Ltd.,Australia,62.5,7.5,16.7,2.9
"Nu Skin Enterprises, Inc.",USA,65.6,10.1,12.5,2.9
"Monolithic Power Systems, Inc.",USA,59.1,11.9,14.3,2.9
Apollo Hospitals Enterprise Ltd.,India,65.5,16.7,30.8,2.9
Nexity,France,57.7,4.4,36.4,2.9
National Beverage Corp.,USA,71.4,17.6,0,2.9
"LifePoint Health, Inc.",USA,64.3,8.1,25,2.8
Cantel Medical Corp.,USA,66.2,13.2,22.2,2.8
Spie SA,France,57,4,36.4,2.8
Helen of Troy Limited,USA,60.3,8.6,12.5,2.8
"HRG Group, Inc.",USA,57.3,1.9,0,2.8
Qlik Technologies Inc.,USA,55.7,8.9,14.3,2.8
Finning International Inc.,Canada,61.5,5.5,16.7,2.8
Life Healthcare Group Holdings Ltd.,South Africa,56.5,5.5,27.3,2.8
Tabcorp Holdings Ltd.,Australia,59.3,5.7,28.6,2.8
Lundin Mining Corporation,Canada,62.9,10.8,12.5,2.8
RLJ Lodging Trust,USA,61.3,5,14.3,2.8
"Columbia Property Trust, Inc.",USA,66.2,5.6,10,2.8
Fresh Del Monte Produce Inc.,USA,70.9,14.1,11.1,2.8
"MB Financial, Inc.",USA,58.8,13.5,27.3,2.8
Jardine Lloyd Thompson Group plc,United Kingdom,60.1,7.5,9.1,2.8
"Yantai Jereh Oilfield Services Group Co., Ltd.",China,47,1.8,22.2,2.8
"Sunstone Hotel Investors, Inc.",USA,56.9,6.2,11.1,2.8
Graham Holdings Company,USA,59.9,10.6,16.7,2.8
The Jean Coutu Group (PJC) Inc.,Canada,59.9,15.9,46.7,2.8
Canadian Real Estate Investment Trust,Canada,64.8,5.8,25,2.8
Physicians Realty Trust,USA,63.4,3,0,2.8
F.N.B. Corporation,USA,63.3,9.3,13.3,2.8
"Healthcare Services Group, Inc.",USA,60.4,14.8,10,2.8
TalkTalk Telecom Group plc,United Kingdom,54.3,7.9,16.7,2.8
Impala Platinum Holdings Ltd,South Africa,54.3,2.6,35.7,2.8
Whitecap Resources Inc.,Canada,59.4,5.4,0,2.8
Vector Group Ltd.,USA,71.7,16.4,14.3,2.8
Porto Seguro SA,Brazil,54.4,5.8,14.3,2.8
"XPO Logistics, Inc.",USA,59.6,3.7,14.3,2.8
Duerr AG,Germany,57.8,5.3,16.7,2.8
UMB Financial Corporation,USA,53.3,11.7,18.2,2.8
Unione di Banche Italiane S.p.A.,Italy,58.2,3.5,21.7,2.8
"Worthington Industries, Inc.",USA,63.5,13.3,20,2.8
"Cree, Inc.",USA,56,6.3,11.1,2.8
"Paycom Software, Inc.",USA,53.6,6.4,0,2.8
GN Store Nord A/S,Denmark,58.4,6.8,22.2,2.8
Corporate Office Properties Trust,USA,63.3,9.1,12.5,2.8
Ciena Corporation,USA,65.1,13.7,22.2,2.8
"Proofpoint, Inc.",USA,55,10.1,14.3,2.8
Louisiana-Pacific Corporation,USA,65.3,10,22.2,2.8
Janus Capital Group Inc.,USA,60.8,5.7,20,2.8
ProAssurance Corporation,USA,62.5,6.8,10,2.8
Wintrust Financial Corporation,USA,62.4,9.8,25,2.8
Tullow Oil plc,United Kingdom,57.9,8.3,18.2,2.8
EnerSys,USA,62.1,8.7,0,2.7
Avista Corporation,USA,59.4,12.1,40,2.7
"Ryman Hospitality Properties, Inc.",USA,61.7,8.2,22.2,2.7
Nabors Industries Ltd.,USA,63.4,6.7,0,2.7
"UNITED BANKSHARES, INC.",USA,66.8,15.5,10,2.7
"Superior Energy Services, Inc.",USA,65.3,7.8,12.5,2.7
Unipro PJSC,Russia,49.9,2.6,13.3,2.7
Aspen Insurance Holdings Limited,USA,60.1,7,9.1,2.7
B2Gold Corp.,Canada,60.4,6.8,0,2.7
"PNM Resources, Inc.",USA,62.8,3.6,37.5,2.7
Rheinmetall AG,Germany,56,6.5,25,2.7
Mahindra & Mahindra Financial Services Limited,India,61.2,7.9,11.1,2.7
DH Corporation,Canada,56,6.3,37.5,2.7
Man Group plc,United Kingdom,54.3,3.5,10,2.7
First Majestic Silver Corp.,Canada,67.3,12.8,0,2.7
Contact Energy Ltd.,New Zealand,66,2.2,40,2.7
"Medidata Solutions, Inc.",USA,55,11.4,0,2.7
"MFA Financial, Inc.",USA,64.6,9.5,25,2.7
"FireEye, Inc.",USA,53.1,3.3,11.1,2.7
Truworths International Ltd,South Africa,58.3,10.3,10,2.7
"Primerica, Inc.",USA,57.9,4.6,27.3,2.7
"Littelfuse, Inc.",USA,63.4,14.3,0,2.7
Nordex SE,Germany,66,4.3,16.7,2.7
"Choice Hotels International, Inc.",USA,58.5,8.9,20,2.7
Kate Spade & Company,USA,58.1,7.9,40,2.7
"Brinker International, Inc.",USA,57.3,3.6,20,2.7
"HSN, Inc.",USA,59,6.4,44.4,2.7
Univar Inc.,USA,56.3,4.5,9.1,2.7
Tech Data Corporation,USA,62.3,13,12.5,2.7
Regal Beloit Corporation,USA,59.7,10.4,20,2.7
EDP - Energias Do Brasil SA,Brazil,63.5,5.6,0,2.7
Hyundai Department Store Co.,South Korea,54.9,3,0,2.7
"PRA Health Sciences, Inc.",USA,48.9,2.7,14.3,2.7
Science Applications International Corporation,USA,59,2.6,22.2,2.7
Associated Banc-Corp,USA,61.7,8.6,27.3,2.7
"Black Knight Financial Services, Inc.",USA,59,2,0,2.7
Lenzing AG,Austria,53.8,5.6,16.7,2.7
Linamar Corporation,Canada,65.5,21,16.7,2.6
Methanex Corporation,Canada,64.4,8,27.3,2.6
Sappi Ltd,South Africa,61.7,6.7,13.3,2.6
"Zendesk, Inc.",USA,49.9,4.1,42.9,2.6
Det Norske Oljeselskap ASA,Norway,53.8,1.3,40,2.6
The Spar Group Ltd,South Africa,57.9,7.9,20,2.6
Logitech International S.A.,USA,56.9,5.1,20,2.6
BB Biotech AG,Switzerland,58.5,6.7,0,2.6
Ligand Pharmaceuticals Incorporated,USA,54.3,8.6,0,2.6
Acadia Realty Trust,USA,66.6,10.3,25,2.6
NMC Health plc,United Kingdom,54.5,2.7,27.3,2.6
Beazley plc,United Kingdom,58.7,7.4,18.2,2.6
Magellan Financial Group,Australia,49,5.6,20,2.6
Euronext NV,Netherlands,56.4,2.8,33.3,2.6
Technicolor,France,51.8,3.2,41.7,2.6
Veresen Inc.,Canada,56.8,6,22.2,2.6
"QTS Realty Trust, Inc.",USA,61.3,3,12.5,2.6
Zebra Technologies Corporation,USA,60.5,8.6,12.5,2.6
"Allscripts Healthcare Solutions, Inc.",USA,59.3,2,0,2.6
"The GEO Group, Inc.",USA,62.3,12.3,33.3,2.6
PIK Group PJSC,Russia,49,2.1,33.3,2.6
"J. C. Penney Company, Inc.",USA,61,6,27.3,2.6
CoreSite Realty Corporation,USA,56,6,0,2.6
Pick n Pay Stores Ltd,South Africa,57.6,10.7,25,2.6
KEPCO Plant Service & Engineering Co. Ltd.,South Korea,58.4,1.8,0,2.6
"Five Below, Inc.",USA,58.3,4.2,22.2,2.6
Phoenix Group Holdings,United Kingdom,60.3,5,22.2,2.6
IBERIABANK Corporation,USA,66.9,15.1,9.1,2.6
Yangzijiang Shipbuilding (Holdings) Ltd.,Singapore,59.3,6.3,0,2.6
Korian,France,57.6,2.3,36.4,2.6
Orora Ltd.,Australia,65.7,7,33.3,2.6
Radian Group Inc.,USA,65.6,11.5,10,2.6
Algonquin Power & Utilities Corp.,Canada,58.7,4.9,33.3,2.6
"Papa John's International, Inc.",USA,53.3,8,42.9,2.6
Masimo Corporation,USA,68,10.2,0,2.6
Grenke AG,Germany,56.5,8.5,33.3,2.6
VISCOFAN S.A.,Spain,56.7,6.9,10,2.6
The Wendy's Company,USA,61.1,8,18.2,2.6
Convergys Corporation,USA,58.8,7.2,33.3,2.6
Platinum Asset Management Ltd,Australia,57.1,6.3,25,2.6
NCC AB,Sweden,54.6,8.4,33.3,2.6
"Buffalo Wild Wings, Inc.",USA,63.8,13.3,25,2.6
Gerresheimer AG,Germany,53.3,4.8,33.3,2.6
TopDanmark AS,Denmark,52.2,3.8,66.7,2.5
Hyundai Development Co. - Engineering & Construction,South Korea,58.8,4.8,0,2.5
Indivior plc,United Kingdom,57,2,20,2.5
Liberty Holdings Ltd,South Africa,55.1,6,15.4,2.5
Alamos Gold Inc.,Canada,61.2,1,11.1,2.5
Vicat,France,59.5,12.3,30,2.5
THE MEDICINES COMPANY,USA,66,10.4,9.1,2.5
MMI Holdings Ltd,South Africa,56.5,7.3,13.3,2.5
GrubHub Inc.,USA,44.9,2.3,11.1,2.5
Darling Ingredients Inc.,USA,64.7,5.3,22.2,2.5
Bharat Forge Ltd.,India,60.3,10.6,7.1,2.5
Virgin America Inc.,USA,58.9,6.2,9.1,2.5
Cineplex Inc.,Canada,61.4,8.3,20,2.5
The Timken Company,USA,60.4,10.3,18.2,2.5
"Hanwha Techwin Co., Ltd.",South Korea,60.6,4,0,2.5
"PDC Energy, Inc.",USA,58.7,11.4,14.3,2.5
"Cirrus Logic, Inc.",USA,58.6,6,12.5,2.5
Zynga Inc.,USA,55.9,4.1,25,2.5
BNK Financial Group Inc.,South Korea,59.3,1.3,0,2.5
Northern Star Resources Ltd,Australia,59.5,6.5,0,2.5
ASM International NV,Netherlands,66.3,7.8,0,2.5
"South Jersey Industries, Inc.",USA,60.1,8.2,30,2.5
Samsung Securities Co. Ltd.,South Korea,58.4,1.4,0,2.5
OPAP (Greek Organisation of Football Prognostics SA),Greece,48.7,3,0,2.5
AMEC Foster Wheeler plc,United Kingdom,60.1,4,25,2.5
BR Malls Participacoes S.A.,Brazil,57.7,4.2,11.1,2.5
"Compass Minerals International, Inc.",USA,60.5,6.8,25,2.5
West Fraser Timber Co. Ltd.,Canada,60.7,11.5,9.1,2.5
Banca Generali S.p.a.,Italy,50.5,2.4,25,2.5
"Pinnacle Financial Partners, Inc.",USA,62.3,8.1,13.3,2.5
Generac Holdings Inc.,USA,53.6,5.4,0,2.5
Flight Centre Travel Group Ltd,Australia,55.3,8.4,20,2.5
The Cheesecake Factory Incorporated,USA,71.1,10.1,0,2.5
Lexington Realty Trust,USA,62.3,10.1,12.5,2.5
Stroeer SE & Co KGaA,Germany,44.2,1.2,33.3,2.5
Vienna Insurance Group Ag,Austria,63.1,7.8,30,2.5
Mirae Asset Securities Co.,South Korea,57.1,6.4,0,2.5
Mack-Cali Realty Corporation,USA,70.2,14.8,0,2.5
SolarCity Corporation,USA,48.8,8.3,12.5,2.5
Paysafe Group plc,United Kingdom,60,2.9,0,2.5
Acea Spa,Italy,49.7,2.7,55.6,2.5
"MKS INSTRUMENTS, INC.",USA,67.5,15.4,25,2.5
Select Income REIT,USA,62,4.4,20,2.4
Retail Opportunity Investments Corp.,USA,66.9,7.9,12.5,2.4
Allegiant Travel Company,USA,59.2,8.2,16.7,2.4
Deutsche Euroshop AG,Germany,51.3,5.4,33.3,2.4
"BGC Partners, Inc.",USA,65.4,8.8,20,2.4
FULTON FINANCIAL CORPORATION,USA,62.3,6.6,18.2,2.4
Genworth MI Canada Inc.,Canada,54.9,4,22.2,2.4
"Clear Channel Outdoor Holdings, Inc.",USA,49.8,5.8,12.5,2.4
Hyundai Marine & Fire Insurance Co. Ltd.,South Korea,56.9,3,11.1,2.4
Rotork plc,United Kingdom,56.8,6.6,25,2.4
"PriceSmart, Inc.",USA,62,9.6,20,2.4
Daelim Industrial Co.,South Korea,57.4,1.7,0,2.4
Centamin plc,United Kingdom,58.7,6,0,2.4
SBM Offshore NV,Netherlands,60.6,4.1,37.5,2.4
Intermediate Capital Group plc,United Kingdom,51.6,6.6,14.3,2.4
"Mirae Asset Daewoo Co., Ltd.",South Korea,62.2,1,0,2.4
"United Natural Foods, Inc.",USA,58.6,8.3,37.5,2.4
"Diplomat Pharmacy, Inc.",USA,56.3,5.4,14.3,2.4
Valley National Bancorp,USA,63.8,16.2,15.4,2.4
"Empire State Realty Trust, Inc.",USA,59.7,3,14.3,2.4
GoDaddy Inc.,USA,50.9,1.7,10,2.4
Sembcorp Marine Ltd.,Singapore,61.1,6.4,10,2.4
Trinseo S.A.,USA,51.2,2.9,0,2.4
Hanwha Corporation,South Korea,59,1.8,0,2.4
"Laredo Petroleum, Inc.",USA,60.4,7.4,11.1,2.4
Washington Real Estate Investment Trust,USA,62,6.4,12.5,2.4
New Gold Inc.,Canada,62.4,5.4,11.1,2.4
Telkom SA SOC Limited,South Africa,50.4,2.4,42.9,2.4
"Kite Pharma, Inc.",USA,59.6,4.2,11.1,2.4
NH Investment & Securities Co. Ltd.,South Korea,59.3,1.7,0,2.4
Distell Group Ltd,South Africa,57.4,9.3,21.4,2.4
Toromont Industries Ltd.,Canada,65.2,14.1,20,2.4
Cepheid,USA,67.3,12.2,11.1,2.4
Meredith Corporation,USA,65.1,15.4,33.3,2.4
Lotte Confectionery Co.,South Korea,58.1,3.2,0,2.4
Altran Technologies,France,57.5,4.6,33.3,2.4
AZIMUT HOLDING S.p.A.,Italy,55.2,6.5,20,2.4
Bolsas y Mercados Espanoles S.A.,Spain,63.4,7.5,16.7,2.4
"Hawaiian Holdings, Inc.",USA,58.4,7,11.1,2.4
Hecla Mining Company,USA,65.9,9.9,0,2.4
"Cornerstone OnDemand, Inc.",USA,54.4,7.4,14.3,2.4
"Lexmark International, Inc.",USA,68.6,12.6,16.7,2.4
Cathay General Bancorp,USA,69.9,17.8,8.3,2.4
"Globus Medical, Inc.",USA,56.9,8.5,12.5,2.4
"Cavium, Inc.",USA,58.6,10.2,0,2.4
Terex Corporation,USA,63.4,11.2,10,2.4
Buwog AG,Austria,46.3,0.9,22.2,2.4
WebMD Health Corp.,USA,65.5,7.4,10,2.4
Kite Realty Group Trust,USA,61.1,4.8,11.1,2.4
Domino's Pizza Group plc,United Kingdom,61.6,7.7,14.3,2.4
"Pure Storage, Inc.",USA,50.5,4,12.5,2.4
"Interactive Brokers Group, Inc.",USA,62.5,7.9,0,2.4
Localiza Rent A Car S.A.,Brazil,61.6,13.8,12.5,2.4
Daewoo International Corp.,South Korea,57.7,0.6,0,2.3
UniFirst Corporation,USA,72,19.3,28.6,2.3
Jupiter Fund Management plc,United Kingdom,56,5.4,44.4,2.3
Ontex Group NV,Belgium,55.3,1.8,12.5,2.3
H.B. Fuller Company,USA,60.6,9.4,22.2,2.3
Korea Investment Holdings Co.,South Korea,53,3.8,0,2.3
Cogeco Communications Inc,Canada,64.4,10.2,44.4,2.3
WH Smith plc,United Kingdom,55.2,5.5,33.3,2.3
Swift Transportation Company,USA,65.3,5.7,0,2.3
Allied Properties Real Estate Investment Trust,Canada,67.6,9.9,12.5,2.3
